threadNum,insertSize,time,rate
1,10000,146130,1.36541
2,10000,120973,1.13035
3,10000,133507,1.24746
4,10000,168236,1.57196
5,10000,141601,1.32309
6,10000,156531,1.46259
7,10000,158726,1.4831
8,10000,171492,1.60238
9,10000,186104,1.73892
10,10000,182705,1.70716
11,10000,195971,1.83111
12,10000,202653,1.89355
13,10000,220763,2.06276
14,10000,253278,2.36658
15,10000,258471,2.4151
16,10000,283067,2.64492
17,10000,315494,2.94791
18,10000,334953,3.12973
19,10000,331557,3.098
20,10000,373393,3.4889
21,10000,367544,3.43425
22,10000,380015,3.55078
23,10000,376226,3.51538
24,10000,410835,3.83875
25,10000,435249,4.06687
26,10000,452687,4.22981
27,10000,476406,4.45144
28,10000,522617,4.88322
29,10000,510296,4.7681
30,10000,548932,5.1291
31,10000,557028,5.20475
32,10000,563752,5.26758
